subsektor;komoditas;provinsi;tahun;produktivitas;luas_panen;kluster;silhouette_score_komoditas;prediksi_random_forest_2026;prediksi_xgboost_2026;prediksi_produksi_2026;c1_produksi_aktual_terakhir;c2_luas_panen;c3_produktivitas;c4_prediksi_produksi;c5_prediksi_produktivitas;c6_pertumbuhan_produksi;nilai_topsis;ranking_topsis_global;ranking_topsis_per_komoditas
Hortikultura;Wortel;Kalimantan Selatan;2026;0;0;1;0,461177431;0;800,2332764;800,2332764;4791,387;312,5477778;130,7688889;3337,937744;130,7688889;-30,33462452;0,003219792;714;9
Hortikultura;Alpukat;Sumatera Barat;2026;236,2644444;3648,94;2;0,315684648;102367,0078;126403,7266;126403,7266;36367,65467;3240,176667;108,7222222;42034,36328;108,7222222;15,58172686;0,003933551;655;12
Hortikultura;Bawang Merah;Sumatera Barat;2026;152,8944444;15012,49333;3;0,351342382;215828,775;228265,3594;228265,3594;5200,987333;343,8955556;146,3088889;4610,080078;146,3088889;-11,36144384;0,003602986;675;13
Hortikultura;Buncis;Sumatera Barat;2026;135,6533333;3258,248889;2;0,313313921;45972,88542;47938,32031;47938,32031;16818,207;1286,471111;132,2066667;16999,66016;132,2066667;1,078909043;0,003487605;686;14
Hortikultura;Cabai Rawit;Sumatera Barat;2026;8,342637021;3167,415556;4;0,366125458;26434,59167;36363,79297;36363,79297;1640,940333;112,5755556;137,7011111;1229,659912;137,7011111;-25,06370359;0,003370354;701;15
Hortikultura;Durian;Sumatera Barat;2026;16,84435466;5168,016667;4;0,297046471;159559,3856;111861,0938;111861,0938;16304,05133;1251,488889;127,2977778;16859,60547;127,2977778;3,407460662;0,003368289;702;16
Hortikultura;Jeruk Besar;Sumatera Barat;2026;13,11698922;12,41617;4;0,336452575;214,4855333;-306,534668;-306,534668;8221,305667;719,9255556;110,5133333;8287,206055;110,5133333;0,80158056;0,002793114;755;17
Hortikultura;Kentang;Sumatera Barat;2026;187,9377778;1290,827778;2;0,436074795;33707,44949;60861,1875;60861,1875;8596,431333;842,9166667;102,6355556;8287,206055;102,6355556;-3,597135447;0,002612557;781;18
Hortikultura;Ketimun;Sumatera Barat;2026;114,8511111;1655,717778;1;0,290538337;21754,38506;24239,91797;24239,91797;7432,258333;683,5566667;101,6866667;7129,414063;101,6866667;-4,074727455;0,002567775;788;19
Hortikultura;Kubis;Sumatera Barat;2026;314,3633333;6562,325556;1;0,413477616;249017,3689;211553,1875;211553,1875;5261,961;592,1977778;94,11444444;4694,748047;94,11444444;-10,77949747;0,002351709;814;20
Hortikultura;Mangga;Sumatera Barat;2026;16,92962543;911,2333333;1;0,300329066;15729,12176;22295,96289;22295,96289;9939,48;1132,466667;90,06444444;9114,574219;90,06444444;-8,299285086;0,002348251;816;21
Hortikultura;Manggis;Sumatera Barat;2026;11,67387508;2819,351111;4;0,280737839;42239,564;42331,33984;42331,33984;3582,023667;299,6166667;92,41444444;3094,719727;92,41444444;-13,60415188;0,002288718;824;22
Hortikultura;Nanas;Sumatera Barat;2026;214,9436212;1,342848889;4;0,303966619;350,7309908;3407,508789;3407,508789;1054,768667;124,3944444;89,34666667;1075,113281;89,34666667;1,928822426;0,002195441;835;23
Hortikultura;Nangka;Sumatera Barat;2026;15,57174677;806,7355556;1;0,306945405;14925,60589;14591,84473;14591,84473;158,0686667;19,20222222;89,30666667;1109,081665;89,30666667;601,6454864;0,002193788;836;24
Hortikultura;Pepaya;Sumatera Barat;2026;103,1845769;396,9553333;1;0,3791048;39399,07533;39620,79688;39620,79688;2798,558333;345,6444444;84,78333333;2530,00415;84,78333333;-9,5961617;0,002098638;844;25
Hortikultura;Rambutan;Sumatera Barat;2026;10,101348;1876,411111;1;0,326269996;22383,25829;31601,9668;31601,9668;3714,085333;358,7655556;75,81;3094,719727;75,81;-16,67612753;0,001891344;874;26
Hortikultura;Salak;Sumatera Barat;2026;39,64873777;25,75866667;3;0,416541486;1153,536619;305,0431213;305,0431213;4766,949;790,0166667;62,77777778;5035,881348;62,77777778;5,641603207;0,001615523;913;27
Hortikultura;Semangka;Sumatera Barat;2026;135,5722222;725,7688889;1;0,288071912;10458,5334;11512,22656;11512,22656;3733,918333;561,1355556;58,32;3395,774658;58,32;-9,056000827;0,001481453;932;28
Hortikultura;Tomat;Sumatera Barat;2026;241,4533333;3969,752222;4;0,397771496;129651,0259;105676,8438;105676,8438;994,9566667;120,5355556;56,75444444;1540,952026;56,75444444;54,87629542;0,001410826;940;29
Hortikultura;Wortel;Sumatera Barat;2026;184,3211111;1376,694444;3;0,461177431;27251,41368;52141,83984;52141,83984;2286,192;4579,41;5,246666667;13213,02148;5,246666667;477,9488986;0,001231963;968;30
Pangan;Jagung;Jawa Barat;2026;73,5155678;87853,79667;1;0,347970864;638991,596;715925,1875;715925,1875;83;379,1111111;365,1111111;-787,4728394;365,1111111;-1048,762457;0,008873881;442;23
Pangan;Jagung;Kalimantan Selatan;2026;60,21507309;21030,94;1;0,347970864;170437,7695;140152,2031;140152,2031;316,3333333;341,6666667;232,5555556;-787,4728394;232,5555556;-348,9376731;0,005667894;561;17
Pangan;Jagung;Sumatera Barat;2026;62,70816148;83109,25667;1;0,347970864;532195,5375;557523,125;557523,125;5,666666667;72,77777778;123,5555556;-680,142334;123,5555556;-12102,51178;0,003019904;737;14
Pangan;Kacang Hijau;Jawa Barat;2026;9,631839877;3061,333333;1;0,506440493;2172,618763;4855,71875;4855,71875;2;9,333333333;317,5555556;-875,0471802;317,5555556;-43852,35901;0,007724683;480;24
Pangan;Kacang Hijau;Kalimantan Selatan;2026;10,21666667;56;1;0,506440493;50,89595099;-22,49968719;-22,49968719;197,6666667;2520,222222;149,4444444;743,6585083;149,4444444;276,2184696;0,003688884;672;18
Pangan;Kacang Hijau;Sumatera Barat;2026;9,709319728;167,6666667;1;0,506440493;142,3058425;-994,4277954;-994,4277954;40,33333333;682,6666667;78,66666667;-438,7529602;78,66666667;-1187,817257;0,001933585;870;15
Pangan;Kacang Tanah;Jawa Barat;2026;15,94763967;17574;2;0,46112208;28064,14006;31830,61133;31830,61133;2851;15773,22222;281,3333333;4049,115479;281,3333333;42,0243942;0,007563983;488;25
Pangan;Kacang Tanah;Kalimantan Selatan;2026;12,45571429;1780;2;0,46112208;2163,607554;2329,954102;2329,954102;0,093333333;94,77777778;11,22111111;-481,2341614;11,22111111;-515708,03;0,000315898;1220;19
Pangan;Kacang Tanah;Sumatera Barat;2026;13,98531136;2170,666667;2;0,46112208;2874,283617;1678,420654;1678,420654;0,023333333;16,11111111;23,66666667;-413,0398865;23,66666667;-1770270,942;0,000600133;1094;16
