subsektor;komoditas;provinsi;tahun;produktivitas;luas_panen;kluster;silhouette_score_komoditas;prediksi_random_forest_2026;prediksi_xgboost_2026;prediksi_produksi_2026;c1_produksi_aktual_terakhir;c2_luas_panen;c3_produktivitas;c4_prediksi_produksi;c5_prediksi_produktivitas;c6_pertumbuhan_produksi;nilai_topsis;ranking_topsis_global;ranking_topsis_per_komoditas;absolute
Pangan;Jagung;Bengkulu;2026;63,81349808;9402,616667;1;0,347970864;63568,38607;64667,84375;64667,84375;1364,666667;3202,666667;573,1111111;1268,629028;573,1111111;-7,037442966;0,013894142;339;22;64667,84375
Pangan;Jagung;Daerah Istimewa Yogyakarta;2026;51,81251167;39710,12667;1;0,347970864;208488,8494;212136,7344;212136,7344;0,333333333;23,44444444;30,88888889;-471,4061279;30,88888889;-141521,8384;0,000771283;1051;29;212136,7344
Pangan;Jagung;Daerah Khusus Ibukota Jakarta;2026;0;0;2;0,347970864;0;27,72760391;27,72760391;23516,33333;77337,88889;441,1111111;26743,58008;441,1111111;13,7234266;0,018950028;250;2;27,72760391
Pangan;Jagung;Gorontalo;2026;48,3436174;124368,32;1;0,347970864;631955,1545;640621,5625;640621,5625;8357,666667;33926,11111;453,1111111;8274,142578;453,1111111;-0,999370899;0,012970729;353;9;640621,5625
Pangan;Jagung;Jambi;2026;63,11040367;2267,82;1;0,347970864;23955,43729;18091,71289;18091,71289;4540,666667;26368,44444;364,8888889;4939,720215;364,8888889;8,788435212;0,010352015;413;16;18091,71289
Pangan;Jagung;Jawa Barat;2026;73,5155678;87853,79667;1;0,347970864;638991,596;715925,1875;715925,1875;83;379,1111111;365,1111111;-787,4728394;365,1111111;-1048,762457;0,008873881;442;23;715925,1875
Pangan;Jagung;Jawa Tengah;2026;59,33053744;412582,59;3;0,347970864;2699953,547;2410449,25;2410449,25;208;2843,777778;185,3333333;1144,724854;185,3333333;450,3484873;0,004562676;614;30;2410449,25
Pangan;Jagung;Jawa Timur;2026;61,9455265;752228,9633;4;0,347970864;4596804,741;4734791;4734791;14698;29268,11111;742,7777778;12715,50586;742,7777778;-13,48818983;0,018935859;251;3;4734791
Pangan;Jagung;Kalimantan Barat;2026;47,78108809;22956,38;1;0,347970864;169986,7024;130867,7656;130867,7656;3,333333333;104,4444444;452,4444444;-835,9613647;452,4444444;-25178,84094;0,010976644;401;10;130867,7656
Pangan;Jagung;Kalimantan Selatan;2026;60,21507309;21030,94;1;0,347970864;170437,7695;140152,2031;140152,2031;316,3333333;341,6666667;232,5555556;-787,4728394;232,5555556;-348,9376731;0,005667894;561;17;140152,2031
