subsektor;komoditas;provinsi;tahun;kluster;silhouette_score_komoditas;c1_produksi_aktual_terakhir;c2_luas_panen;c3_produktivitas;c4_prediksi_produksi;c5_prediksi_produktivitas;c6_pertumbuhan_produksi;nilai_topsis;ranking_topsis_global;ranking_topsis_per_komoditas;produktivitas;luas_panen;prediksi_random_forest_2026;prediksi_xgboost_2026;prediksi_produksi_2026;pertumbuhan_produksi_2026;prediksi_produktivitas_2026
Perkebunan;Aren;Jawa Barat;2026;2;0,326568799;190855,1313;14515,55556;7134,555556;92527,77344;7134,555556;-51,51936823;0,165977362;42;1;111,7255556;17011,37556;121279,3189;73965,19531;73965,19531;-8,729906786;111,7255556
Perkebunan;Aren;Jawa Tengah;2026;2;0,326568799;443487,2;2906,555556;2044,666667;150630,1094;2044,666667;-66,03507173;0,058183111;117;4;8295,888889;55870,22222;148596,1734;131952,1875;131952,1875;1,463224228;8295,888889
Perkebunan;Aren;Jawa Timur;2026;2;0,326568799;479909,4687;396,8888889;1873,555556;225781,7969;1873,555556;-52,95325231;0,05535045;123;5;91,98888889;52266,14778;37579,29221;140269,0469;140269,0469;446,3761272;91,98888889
Perkebunan;Aren;Kalimantan Barat;2026;1;0,326568799;58,403;503,7777778;261,4444444;16576,72852;261,4444444;28283,35105;0,007263678;585;24;22,49666667;25,34333333;3582,67581;5094,189941;5094,189941;387,2078384;22,49666667
Perkebunan;Aren;Kalimantan Selatan;2026;2;0,326568799;406,502;2205,777778;1182,444444;12878,53711;1182,444444;3068,136223;0,0310422;204;13;55,43888889;82,77111111;3495,815549;1300,30603;1300,30603;-39,51816484;55,43888889
Perkebunan;Aren;Kalimantan Tengah;2026;1;0,326568799;76,80333333;217,3333333;134,3333333;12540,19238;134,3333333;16227,66683;0,004085953;807;28;34,30111111;18,95111111;4311,90162;1226,996338;1226,996338;-8,175635422;34,30111111
Perkebunan;Aren;Kalimantan Timur;2026;2;0,326568799;237,034;1142,333333;1102,111111;13386,76074;1102,111111;5547,612048;0,028983111;223;14;51,44111111;53,95444444;3138,710689;287,4873352;287,4873352;-93,25447957;51,44111111
Perkebunan;Aren;Kalimantan Utara;2026;1;0,326568799;119,28;8;0;1279,74585;0;972,892228;0,001748556;1385;31;144,7544444;5,177777778;6824,235881;1645,765137;1645,765137;-47,25635797;144,7544444
Perkebunan;Aren;Kepulauan Bangka Belitung;2026;1;0,326568799;124,7563333;435,7777778;3167,777778;24711,82031;3167,777778;19708,06878;0,079608388;91;2;49,66888889;27,98444444;3476,810099;-1192,068359;1192,068359;-273,9231017;49,66888889
Perkebunan;Aren;Kepulauan Riau;2026;1;0,326568799;53,571;1,333333333;0;-1773,203979;0;-3410,007242;0,001697794;1452;34;73,72;7,13;1561,923983;-7401,902832;7401,902832;-4070,267923;73,72
Perkebunan;Aren;Lampung;2026;1;0,326568799;1856,116667;1422,666667;903,3333333;30304,7168;903,3333333;1532,694611;0,023911604;260;15;73,42111111;258,8733333;5790,111442;28873,18945;28873,18945;563,5199869;73,42111111
