subsektor;komoditas;provinsi;tahun;produktivitas;luas_panen;kluster;silhouette_score_komoditas;prediksi_random_forest_2026;prediksi_xgboost_2026;prediksi_produksi_2026;c1_produksi_aktual_terakhir;c2_luas_panen;c3_produktivitas;c4_prediksi_produksi;c5_prediksi_produktivitas;c6_pertumbuhan_produksi;nilai_topsis;ranking_topsis_global;ranking_topsis_per_komoditas;prediksi_produktivitas_2026
Pangan;Ubi Jalar;Papua Barat;2026;117,9272391;207;2;0,40965744;2717,213528;596,923584;596,923584;121554;278221,7778;1041,888889;115375,7188;1041,888889;-5,082746146;0,061281564;74;5;117,9272391
Perkebunan;Aren;Riau;2026;1480,222222;79,66666667;4;0,326927589;19,03988333;-1257,479858;1257,479858;0;2;2;-1541,706909;2;0;0,000116237;1321;33;1480,222222
Perkebunan;Cengkeh;Riau;2026;0;0;4;0,305949423;0;-514,9988403;514,9988403;99395;76290,66667;13,25264318;95784,92969;13,25264318;-3,63204418;0,016806644;278;1;0
Perkebunan;Jambu Mete;Riau;2026;0;0;2;0,349646015;0;-448,2593994;448,2593994;69151;55225,66667;10,90049732;64349,57813;10,90049732;-6,943387478;0,012079864;375;2;0
Perkebunan;Kakao;Riau;2026;455,6666667;3451,888889;3;0,292315492;904,5489822;1030,624268;1030,624268;44051;37653,33333;13,44266583;49569,26953;13,44266583;12,52700173;0,008292662;459;3;455,6666667
Perkebunan;Kapuk;Riau;2026;0;0;1;0,825865712;0;-448,2593994;448,2593994;25503;17574;15,94763967;31830,61133;15,94763967;24,8112431;0,004139455;638;4;0
Perkebunan;Karet;Riau;2026;1415,222222;227234,2222;1;0,429076057;207029,2192;206203,5156;206203,5156;23211;13980,33333;16,89855996;30315,8125;16,89855996;30,6096786;0,003469614;690;5;1415,222222
Perkebunan;Kayu Manis;Riau;2026;0;0;3;0,507886572;0;-448,2593994;448,2593994;9677;8669;13,05013422;12114,8291;13,05013422;25,19199237;0,00198676;863;6;0
Perkebunan;Kelapa;Riau;2026;1170,222222;378930,6667;2;0,299446572;331645,2146;363607,6875;363607,6875;7106;7242;9,564460866;8749,175781;9,564460866;23,12377964;0,001630291;911;7;1170,222222
Perkebunan;Kelapa Sawit;Riau;2026;7520,555556;3328914,111;1;0,369209793;9162773,706;9011981;9011981;4954;4381,333333;13,84876801;8264,016602;13,84876801;66,81503031;0,001129791;995;8;7520,555556
Perkebunan;Kemiri;Riau;2026;0;0;2;0,379593335;0;-448,2593994;448,2593994;2516;3080;11,98534459;3468,702637;11,98534459;37,86576458;0,000776586;1050;9;0
Perkebunan;Kopi Arabica;Riau;2026;0;0;3;0,405448294;0;-448,2593994;448,2593994;2816;2170,666667;13,98531136;1678,420654;13,98531136;-40,39699381;0,000627929;1085;10;0
Perkebunan;Kopi Robusta;Riau;2026;957,7777778;4582,111111;1;0,332957999;1819,43967;1716,603638;1716,603638;1750;2381;8,331370352;2444,448242;8,331370352;39,6827567;0,000604129;1093;11;957,7777778
Perkebunan;Lada;Riau;2026;0;0;3;0,34142663;0;-448,2593994;448,2593994;1970;2002,333333;10,8453837;3340,090088;10,8453837;69,5477202;0,000595749;1095;12;0
Perkebunan;Pala;Riau;2026;0;0;2;0,376517578;0;-448,2593994;448,2593994;2160;1780;12,45571429;2329,954102;12,45571429;7,868245443;0,000561927;1104;13;0
Perkebunan;Panili;Riau;2026;0;0;3;0,337091575;0;-448,2593994;448,2593994;1376;1075,333333;14,8795782;608,5247803;14,8795782;-55,77581539;0,000476255;1132;14;0
Perkebunan;Sagu;Riau;2026;8154,333333;78213,88889;2;0,423813304;312690,0023;306049,0938;306049,0938;1016;747,6666667;16,4461593;14,05539227;16,4461593;-98,61659525;0,000467987;1137;15;8154,333333
Perkebunan;Tebu;Riau;2026;0;0;4;0,523048354;0;-514,9988403;514,9988403;956;983;15,10170604;474,390625;15,10170604;-50,37754969;0,000466943;1138;16;0
